Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
22.8693480492	0	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	5200
24.4347350597	1	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	10400
25.8799490929	2	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	15600
27.3172669411	3	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	20800
28.7994830608	4	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	26000
30.2323548794	5	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	31200
31.6990380287	6	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	36400
33.1853780746	7	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	41600
34.6492950916	8	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	46800
36.111538887	9	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	52000
58.4013879299	10	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	57200
59.8780729771	11	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	62400
61.3158869743	12	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	67600
62.7854290009	13	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	72800
64.2841038704	14	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	78000
65.7282669544	15	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	83200
67.1511769295	16	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	88400
68.612612009	17	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	93600
70.1350319386	18	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	98800
71.5899200439	19	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	104000
93.9557518959	20	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	109200
95.5225479603	21	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	114400
96.9932980537	22	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	119600
98.4597890377	23	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	124800
99.9543170929	24	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	130000
101.447031021	25	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	135200
102.978580952	26	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	140400
104.435595989	27	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	145600
105.938881874	28	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	150800
107.430492878	29	-200.0	0.0	-200.0	-200.0	200.0	0.0	5200	156000
