Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.86848020554	0	-1112.5886	190.41354	-781.61066	-1514.2247	200.0	0.0	5200	5200
3.48548197746	1	-1453.1122	53.67272	-1279.7067	-1514.7068	200.0	0.0	5200	10400
5.02124214172	2	-1580.4725	49.204575	-1477.5767	-1645.3015	200.0	0.0	5200	15600
6.50440597534	3	-1605.6244	43.713497	-1477.7175	-1653.6315	200.0	0.0	5200	20800
7.98322510719	4	-1605.3458	36.20678	-1531.2743	-1654.0071	200.0	0.0	5200	26000
9.45197916031	5	-1605.6713	49.557285	-1473.0724	-1653.7694	200.0	0.0	5200	31200
10.9861700535	6	-1623.1897	50.54613	-1394.3844	-1656.4806	200.0	0.0	5200	36400
12.4608120918	7	-1609.6532	49.593452	-1486.5986	-1656.4884	200.0	0.0	5200	41600
13.9502251148	8	-1624.6361	38.91772	-1513.2712	-1658.1794	200.0	0.0	5200	46800
15.4739851952	9	-1601.0209	37.95098	-1531.5042	-1656.8926	200.0	0.0	5200	52000
16.970607996	10	-1613.3243	39.26778	-1523.2341	-1657.0222	200.0	0.0	5200	57200
18.4415609837	11	-1617.91	33.706913	-1520.2854	-1657.8801	200.0	0.0	5200	62400
19.9416100979	12	-1621.5599	41.593628	-1492.7625	-1657.2417	200.0	0.0	5200	67600
21.4433569908	13	-1617.7222	40.829803	-1494.698	-1655.8608	200.0	0.0	5200	72800
22.9225142002	14	-1611.235	35.851284	-1532.9612	-1656.9656	200.0	0.0	5200	78000
24.4209489822	15	-1613.4816	40.974903	-1513.4766	-1655.3108	200.0	0.0	5200	83200
25.9282710552	16	-1604.8723	40.14433	-1519.3644	-1653.3346	200.0	0.0	5200	88400
27.4357330799	17	-1596.4937	47.18203	-1461.7739	-1649.0276	200.0	0.0	5200	93600
28.9610300064	18	-1604.2858	35.031483	-1493.6743	-1647.7549	200.0	0.0	5200	98800
30.4614531994	19	-1571.304	54.542454	-1417.3862	-1635.7704	200.0	0.0	5200	104000
31.9571402073	20	-1546.6501	53.44113	-1426.1533	-1633.938	200.0	0.0	5200	109200
33.4970431328	21	-1509.5708	38.87175	-1401.6334	-1596.1198	200.0	0.0	5200	114400
35.0218482018	22	-1476.3744	40.000576	-1370.9852	-1536.8854	200.0	0.0	5200	119600
36.527616024	23	-1448.6001	49.658184	-1333.4199	-1508.1685	200.0	0.0	5200	124800
38.1115221977	24	-1432.0808	62.16541	-1336.8755	-1532.385	200.0	0.0	5200	130000
39.628221035	25	-1425.7743	60.336903	-1313.2441	-1515.2468	200.0	0.0	5200	135200
41.2028110027	26	-1468.2244	44.2117	-1355.1759	-1527.332	200.0	0.0	5200	140400
42.7137401104	27	-1470.4451	64.24609	-1270.3646	-1555.5447	200.0	0.0	5200	145600
44.2663772106	28	-1464.2229	64.69515	-1240.2158	-1544.6354	200.0	0.0	5200	150800
45.7842960358	29	-1447.8878	57.26982	-1311.7039	-1527.2241	200.0	0.0	5200	156000
47.3618400097	30	-1438.7709	68.67556	-1272.3472	-1528.6033	200.0	0.0	5200	161200
48.8958380222	31	-1363.6041	86.080894	-1190.646	-1493.0022	200.0	0.0	5200	166400
50.4470880032	32	-1406.2751	73.6327	-1271.9536	-1566.7925	200.0	0.0	5200	171600
51.9940750599	33	-1399.6677	79.67938	-1195.5581	-1505.2655	200.0	0.0	5200	176800
53.5161280632	34	-1417.4791	78.022125	-1213.4808	-1518.9453	200.0	0.0	5200	182000
55.02790308	35	-1448.036	62.94361	-1322.2261	-1555.9542	200.0	0.0	5200	187200
56.5550711155	36	-1466.5583	61.666313	-1276.2769	-1553.1497	200.0	0.0	5200	192400
58.071778059	37	-1499.2274	53.97053	-1335.7175	-1597.4635	200.0	0.0	5200	197600
59.6238729954	38	-1537.9799	52.91437	-1434.448	-1626.8264	200.0	0.0	5200	202800
61.1394929886	39	-1551.3918	43.233944	-1471.1997	-1632.7825	200.0	0.0	5200	208000
62.6754291058	40	-1586.1693	46.24867	-1493.4819	-1650.343	200.0	0.0	5200	213200
64.2168262005	41	-1588.1821	54.104816	-1468.9895	-1648.5073	200.0	0.0	5200	218400
